Lexeme CurrentNode             Line no                        Token name                     ValueIfNumber                  ParentNodeSymbol               IsLeafNode                     NodeSymbol                    
-----                          -                             -----                         -----                        program                        yes                            otherfunctions                
-----                          -                             -----                         -----                        ROOT                         no                             program                       
_main                          1                              TK_MAIN                        -----                         TK_MAIN                        yes                            TK_MAIN                       
-----                          -                             -----                         -----                        program                        no                             mainfunction                  
-----                          -                             -----                         -----                        stmts                          yes                            typedefinitions               
-----                          -                             -----                         -----                        mainfunction                   no                             stmts                         
type                           2                              TK_TYPE                        -----                         TK_TYPE                        yes                            TK_TYPE                       
-----                          -                             -----                         -----                        declarations                   no                             declaration                   
int                            2                              TK_INT                         -----                         TK_INT                         yes                            TK_INT                        
-----                          -                             -----                         -----                        datatype                       no                             primitivedatatype             
-----                          -                             -----                         -----                        declaration                    no                             datatype                      
:                              2                              TK_COLON                       -----                         TK_COLON                       yes                            TK_COLON                      
b5                             2                              TK_ID                          -----                         TK_ID                          yes                            TK_ID                         
-----                          -                             -----                         -----                        declaration                    yes                            global_or_not                 
;                              2                              TK_SEM                         -----                         TK_SEM                         yes                            TK_SEM                        
-----                          -                             -----                         -----                        stmts                          no                             declarations                  
-----                          -                             -----                         -----                        declarations                   yes                            declarations                  
-----                          -                             -----                         -----                        stmts                          yes                            otherstmts                    
return                         3                              TK_RETURN                      -----                         TK_RETURN                      yes                            TK_RETURN                     
-----                          -                             -----                         -----                        stmts                          no                             returnstmt                    
-----                          -                             -----                         -----                        returnstmt                     yes                            optionalreturn                
;                              3                              TK_SEM                         -----                         TK_SEM                         yes                            TK_SEM                        
end                            4                              TK_END                         -----                         TK_END                         yes                            TK_END                        
